year,cpi_%,cpi_1917_%
2017,2.11,1699.714513
2016,2.07,1662.525231
2015,0.73,1626.780867
2014,0.76,1614.26672
2013,1.5,1601.336562
2012,1.74,1576.193657
2011,2.96,1547.526692
2010,1.5,1500.1619
2009,2.72,1476.514187
2008,0.09,1434.768485
2007,4.08,1433.388435
2006,2.54,1373.278665
2005,3.42,1336.784343
2004,3.26,1289.271266
2003,1.88,1245.410871
2002,2.38,1220.583894
2001,1.55,1189.88464
2000,3.39,1170.196593
1999,2.68,1128.548789
1998,1.61,1096.483043
1997,1.7,1077.524892
1996,3.32,1057.841585
1995,2.54,1020.636455
1994,2.67,992.8773699
1993,2.75,964.4563844
1992,2.9,935.9672841
1991,3.06,906.7709272
1990,6.11,876.8784468
1989,4.65,820.6280716
1988,4.42,779.7210431
1987,4.43,742.483282
1986,1.1,706.7445006
1985,3.8,697.9668651
1984,3.95,668.7542053
1983,3.79,639.5422851
1982,3.83,612.5371279
1981,8.92,586.2536145
1980,12.52,530.0528961
1979,13.29,459.9474726
1978,9.02,394.2602812
1977,6.7,353.3666127
1976,4.86,324.8984187
1975,6.94,305.2054346
1974,12.34,278.9091402
1973,8.71,237.2878229
1972,3.41,210.2638422
1971,3.27,200.0327263
1970,5.57,190.5323194
1969,6.2,175.2034853
1968,4.72,159.1369918
1967,3.04,147.4570204
1966,3.46,140.1562698
1965,1.92,132.1247534
1964,0.97,127.7519166
1963,1.64,125.5639463
1962,1.33,121.9243864
1961,0.67,119.011533
1960,1.36,117.5539217
1959,1.73,114.6348872
1958,1.76,110.9848493
1957,2.9,107.3357403
1956,2.99,101.492459
1955,0.37,95.64274103
1954,-0.74,94.92153137
1953,0.75,96.37470418
1952,0.75,94.91285774
1951,6,93.46189354
1950,5.93,82.51122032
1949,-2.07,72.2941757
1948,2.99,75.93605198
1947,8.84,70.82828622
1946,18.13,56.95358896
1945,2.25,32.86513922
1944,2.3,29.94145645
1943,2.96,27.01999653
1942,9.03,23.368295
1941,9.93,13.1507796
1940,0.71,2.9298459
1939,0,2.204196107
1938,-2.78,2.204196107
1937,2.86,5.126718893
1936,1.45,2.203693265
1935,2.99,0.7429209121
1934,1.52,-2.181842012
1933,0.76,-3.646416481
1932,-10.27,-4.373180311
1931,-9.32,6.571737088
1930,-6.4,17.52507398
1929,0.58,25.56097648
1928,-1.16,24.83692233
1927,-2.26,26.30202583
1926,-1.12,29.22245327
1925,3.47,30.68613802
1924,0,26.3034097
1923,2.37,26.3034097
1922,-2.31,23.37931982
1921,-10.82,26.29677533
1920,2.65,41.62006653
1919,14.55,37.96402
1918,20.44,20.44
1917,1,